attribute	bit	cloudflare-workers-microfrontends	commercetools-frontend	edge-side-composition	entando	hyperfrontend	iframe-composition	import-map-architectures	islands-architecture	luigi	micro-app-jd	modular-monolith	module-federation	monorepo-package-composition	native-federation	nextjs-multi-zones	opencomponents	picard-js	piral	plain-spa-routing	podium	qiankun	reverse-proxy-route-composition	server-rendered-templates	server-side-fragment-composition	single-spa	web-components-composition	web-fragments	wujie	zephyr-cloud
migration.strangler.incremental	y	y	n	y	n	y	y	y	c	y	y	y	y	y	y	y	y	y	c	y	y	y	y	y	y	c	y	y	y	y
migration.host.new-infra-tier-required	c	y	n	y	y	n	n	n	n	n	n	n	n	n	n	c	y	n	c	n	y	n	y	n	y	n	n	y	n	c
migration.host.shell-takeover-required	c	n	y	n	y	n	n	n	c	c	n	n	n	n	n	n	n	n	c	n	n	n	n	n	n	y	n	n	n	n
migration.exit.participants-standalone	n	y	n	c	c	y	y	c	n	y	y	n	c	n	y	y	n	c	n	n	c	y	y	n	c	n	c	y	y	y
migration.path.from-incumbent-format	y	n	n	n	n	n	n	y	n	n	?	n	y	n	y	n	n	c	c	n	n	?	n	n	n	n	n	n	?	y
migration.forced-remigration-pending	n	n	c	c	n	y	n	n	n	n	c	n	c	n	c	n	n	n	c	n	n	y	n	n	n	c	n	n	n	n
migration.permanent-viability	y	c	y	c	c	c	y	y	y	y	c	y	y	y	y	y	y	n	y	y	y	c	y	y	y	c	y	n	c	c
ownership.single-team-endorsed	?	n	y	n	n	n	n	c	y	n	n	y	?	y	n	n	?	?	?	y	n	n	-	y	n	?	y	n	n	?
ownership.code-boundary-ownership	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y
ownership.deploy-schedule-ownership	n	y	n	y	c	y	y	y	n	y	y	n	y	n	y	y	y	y	y	n	y	y	y	n	y	y	y	y	y	y
ownership.runtime-operational-ownership	n	y	n	y	c	y	y	n	n	y	n	n	n	n	n	y	n	n	n	n	y	n	y	n	y	n	n	y	n	n
ownership.external-participant	n	n	n	n	n	y	y	n	n	c	n	n	n	n	n	n	n	n	n	n	n	n	c	n	n	n	n	n	n	n
ownership.participant-unmodifiable-host	n	n	n	c	n	y	y	c	c	c	n	n	n	n	c	n	y	y	n	n	n	n	-	n	c	n	y	n	n	n
ownership.distrusted-cadence	y	y	n	y	n	c	y	y	-	y	y	n	c	c	c	y	y	c	y	n	y	y	y	n	y	y	y	y	y	c
ownership.uncoordinated-upgrades	n	y	n	y	y	y	y	y	n	y	y	n	c	n	c	y	y	?	n	n	y	y	y	c	y	y	c	y	y	-
ownership.onboarding-without-central-owner	n	n	n	n	n	n	n	c	n	c	n	n	n	n	n	n	y	c	y	n	n	n	n	n	c	n	n	n	n	y
ownership.platform-team-role-required	y	y	n	y	y	n	n	c	n	y	n	n	y	n	y	y	y	y	y	n	y	y	y	n	y	y	n	y	n	c
ownership.non-developer-composition	n	n	y	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	c	n	n	n	n	n	n
ownership.participant-bytes-verbatim	n	n	-	c	y	y	y	c	-	y	n	-	y	n	y	y	y	y	y	-	y	n	y	-	y	y	y	n	n	y
ownership.nested-host-seat	y	?	?	y	?	y	y	y	-	?	?	-	y	y	?	?	y	?	?	-	?	?	y	-	y	c	y	?	y	-
ownership.upstream-contract-lifetime	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	c	n	n	n	n	n	n	n	y
coordination.shared-dependency-governance	y	n	n	n	n	n	n	y	n	n	n	n	y	n	y	n	n	c	y	n	n	n	n	n	n	y	c	n	n	y
operations.version-skew-machinery	-	n	c	n	n	y	n	n	-	c	n	-	y	-	y	c	y	n	n	-	y	n	n	-	c	n	n	n	n	y
operations.stack-traces-cross-boundary	y	n	y	n	y	n	n	y	y	c	c	y	y	y	y	-	c	y	y	y	c	y	-	y	c	y	y	n	n	-
operations.owner-attribution-builtin	n	c	n	c	n	y	n	n	n	c	c	n	n	n	n	y	c	?	y	n	y	c	-	n	y	c	n	n	c	?
operations.cross-journey-correlation-diy	n	y	n	y	n	y	y	n	-	y	n	-	n	-	n	y	y	n	n	-	y	n	y	-	y	n	n	y	y	-
operations.deploy-inventory-firstparty	c	c	-	n	y	n	n	y	-	n	n	-	n	-	c	c	y	c	y	-	c	n	n	-	c	c	n	n	n	y
operations.first-party-debug-tooling	c	n	?	n	n	y	n	c	c	n	y	n	y	n	y	c	n	n	y	n	n	n	n	n	n	c	n	n	n	y
operations.local-composed-dev-firstparty	y	c	?	n	?	y	n	c	y	n	n	y	n	y	y	y	y	n	y	y	y	n	n	y	c	c	n	?	n	?
operations.composition-tier-local-parity	y	c	n	n	c	y	y	y	y	y	y	y	y	y	y	c	y	y	y	y	y	y	c	y	y	y	y	y	y	n
operations.standalone-participant-dev	y	y	?	y	c	y	y	y	n	c	y	n	c	y	y	y	y	c	y	n	y	y	y	n	y	c	y	y	y	y
operations.composed-test-utilities	n	y	?	n	n	n	n	n	n	n	n	-	n	-	n	y	n	n	c	-	n	n	n	c	n	n	n	n	n	n
operations.deploy-time-contract-verification	c	n	?	n	n	c	n	n	c	n	n	y	n	y	n	c	c	n	n	y	n	n	n	c	n	n	n	n	n	?
operations.single-sponsor-concentration	y	y	y	c	y	y	n	n	c	y	y	n	y	n	y	y	y	y	y	n	y	y	n	n	c	y	n	y	y	y
operations.mode-forked-operations	n	n	n	y	n	y	y	c	n	y	y	n	n	n	n	n	y	y	y	n	n	y	y	n	n	n	n	y	y	n
